title,genres,budget,revenue,popularity,runtime,vote_average,success,movie_id,perfect_ratio
Movie 119,Romance,162226952,483978535,45.84,129,3.38,1,10749.0,2.9833423425227146
Movie 120,Science Fiction,52327755,124596016,94.93,121,6.59,1,878.0,2.3810693961550613
Movie 121,Romance,80018913,58110073,7.0,91,6.61,0,10749.0,0.7262042287427724
Movie 122,N/A,142347872,173908386,68.85,97,3.39,1,N/A,1.2217139852993377
Movie 123,Drama,5545583,4285482,3.47,145,8.84,0,18.0,0.7727739355808037
Movie 124,Action,189296765,402497758,17.97,153,6.26,1,28.0,2.1262791152294653
Movie 125,Drama,55474455,133858592,45.9,158,6.36,1,18.0,2.4129771441648233
Movie 126,N/A,176760164,497436169,46.03,173,6.12,1,N/A,2.8141870755449174
Movie 127,Adventure,181844642,290120554,68.88,96,6.66,1,12.0,1.5954308623511713
Movie 128,Drama,124685547,343314063,91.11,147,4.59,1,18.0,2.7534391215366765
Movie 129,Romance,54933927,148031985,64.26,150,4.72,1,10749.0,2.694727886466227
Movie 130,Horror,107179285,138581667,95.4,141,6.07,1,27.0,1.292989284263279
Movie 131,Action,53453338,142840766,88.28,120,7.84,1,28.0,2.672251562661999
Movie 132,Comedy,150099456,216020229,58.87,174,3.3,1,35.0,1.4391806256779505
Movie 133,Animation,35045666,43532786,83.55,113,6.62,1,16.0,1.24217316914451
Movie 134,Science Fiction,147939822,314029884,64.62,149,7.84,1,878.0,2.1226866421402075
Movie 135,Action,111573005,147382703,8.78,124,3.94,1,28.0,1.3209530656631503
Movie 136,Comedy,157396162,326679176,74.32,137,3.09,1,35.0,2.0755218669182036
Movie 137,Comedy,47321408,95805953,10.4,130,4.88,1,35.0,2.0245795095530545
Movie 138,Action,148014660,282500383,59.81,113,6.53,1,28.0,1.9085973173197843
Movie 139,Drama,91053374,132122931,70.56,123,3.83,1,18.0,1.451049260404123
Movie 140,N/A,27063245,50642078,7.59,94,5.56,1,N/A,1.8712492903197677
Movie 141,Thriller,174660954,347787282,23.85,157,6.31,1,53.0,1.9912136859163154
Movie 142,Comedy,98636744,183880316,91.65,149,6.59,1,35.0,1.8642172130093833
Movie 143,Adventure,100483854,161884375,62.02,129,4.65,1,12.0,1.6110486267773925
Movie 144,Adventure,110174313,59126988,25.38,111,5.4,0,12.0,0.5366676350412096
Movie 145,Animation,8887739,17487997,69.38,146,7.67,1,16.0,1.9676542031668571
Movie 146,Horror,195954700,180496022,60.08,82,8.65,0,27.0,0.921110960849625
Movie 147,Romance,62071026,130748887,50.66,165,8.17,1,10749.0,2.106439919327256
Movie 148,Comedy,135987326,326146674,97.64,165,6.39,1,35.0,2.39836081488947
Movie 149,Thriller,90178975,157913600,68.66,153,5.46,1,53.0,1.751113272245554
Movie 150,N/A,50007334,92809069,38.17,130,5.0,1,N/A,1.8559091552451086
Movie 151,Horror,163651376,471102626,80.21,146,3.75,1,27.0,2.8786963942179136
Movie 152,Adventure,8971379,23486338,88.57,155,3.64,1,12.0,2.617918382447113
Movie 153,Adventure,4331068,12064585,13.4,172,7.13,1,12.0,2.7855912213800385
Movie 154,Action,37810847,95828405,20.85,127,4.56,1,28.0,2.5344157193833823
Movie 155,Comedy,35428803,27361517,22.41,96,4.53,0,35.0,0.7722958351147229
Movie 156,Thriller,140871965,122907921,69.43,86,8.99,0,53.0,0.8724796378044418
Movie 157,Science Fiction,62553124,113631471,60.7,92,4.13,1,878.0,1.8165594894988777
Movie 158,Animation,181033766,201884175,62.28,145,3.89,1,16.0,1.1151741438113816
Movie 159,Animation,152968492,258782715,94.14,83,3.59,1,16.0,1.6917386817149247
Movie 160,Drama,172116174,255749713,77.82,89,6.48,1,18.0,1.4859133052771671
Movie 161,Adventure,24841962,46542300,13.67,167,6.77,1,12.0,1.8735355927200918
Movie 162,Drama,67834972,160578219,35.4,96,5.19,1,18.0,2.367189286965431
Movie 163,Romance,178374243,408249993,44.1,131,6.21,1,10749.0,2.2887272631620923
Movie 164,Science Fiction,23993420,43262183,40.2,85,7.73,1,878.0,1.8030853042209072
Movie 165,Science Fiction,63190751,161514519,67.26,162,7.91,1,878.0,2.555983533096481
Movie 166,Animation,157188486,247910642,89.3,148,8.75,1,16.0,1.5771552249698493
Movie 167,Thriller,171731194,470850136,31.3,175,7.95,1,53.0,2.7417857235651666
Movie 168,N/A,32288562,21898124,55.64,153,6.39,0,N/A,0.6782006581773447
Movie 169,Comedy,156569237,451960599,79.15,88,4.08,1,35.0,2.886650070345556
Movie 170,Horror,24484187,52316163,42.21,170,3.6,1,27.0,2.136732700170931
Movie 171,Adventure,196995197,285679730,17.64,156,3.33,1,12.0,1.4501862702774424
Movie 172,Animation,37093880,36829968,48.02,162,7.0,0,16.0,0.992885295364087
Movie 173,Drama,185658932,315241082,6.47,100,7.85,1,18.0,1.6979580707703306
Movie 174,Thriller,82752859,81627073,94.3,103,6.05,0,53.0,0.9863958053703015
Movie 175,Drama,133888171,122618672,8.41,83,3.33,0,18.0,0.9158290167396491
Movie 176,Thriller,179283859,366344943,44.41,103,6.21,1,53.0,2.0433793931220547
Movie 177,N/A,76415325,138136885,53.46,138,8.61,1,N/A,1.807711803882271
Movie 178,Adventure,36563453,79534288,98.55,178,6.59,1,12.0,2.1752400682725455
Movie 179,N/A,169973642,480008062,17.44,82,7.86,1,N/A,2.824014690465949
Movie 180,Thriller,51873983,94963134,12.33,147,7.8,1,53.0,1.830650520897923
Movie 181,Thriller,91586459,178807003,1.86,119,8.59,1,53.0,1.9523301255702004
Movie 182,Animation,189110296,136928306,16.4,127,7.62,0,16.0,0.7240658435646465
Movie 183,Romance,24637222,56519991,21.52,133,7.49,1,10749.0,2.2940894472599225
Movie 184,Drama,137702141,206520578,63.43,114,4.4,1,18.0,1.49976301385176
Movie 185,Horror,96057280,282582564,22.75,174,3.36,1,27.0,2.941813093187731
Movie 186,Thriller,174667704,446788640,3.03,135,6.11,1,53.0,2.5579350376071814
Movie 187,Adventure,98453338,177826675,82.84,168,3.75,1,12.0,1.806202599245543
Movie 188,Thriller,3235000,2614063,37.19,119,8.77,0,53.0,0.8080565687789799
Movie 189,Action,24685747,65381175,36.02,156,4.74,1,28.0,2.648539458822129
Movie 190,Animation,173094412,432641302,30.95,147,8.12,1,16.0,2.4994527379659144
Movie 191,Science Fiction,30859174,29669948,97.56,125,5.33,0,878.0,0.9614628051936841
Movie 192,Action,171320581,212128410,17.84,157,4.94,1,28.0,1.238195719170483
Movie 193,Action,47159303,117120984,89.93,92,8.61,1,28.0,2.4835181300283424
Movie 194,Horror,147412954,141969158,77.9,106,5.18,0,27.0,0.9630711151748577
Movie 195,Romance,183153864,511801718,8.57,85,5.34,1,10749.0,2.7943812203710863
Movie 196,N/A,149639396,233634766,98.69,96,3.64,1,N/A,1.561318558115538
Movie 197,Science Fiction,22200096,15930731,27.87,115,7.02,0,878.0,0.7175973923716366
Movie 198,Action,84375337,214260335,10.76,178,4.73,1,28.0,2.5393716057098534
Movie 199,Science Fiction,108868843,156093339,83.1,160,6.51,1,878.0,1.4337742066387167
Movie 200,Horror,24234510,44015879,70.96,81,6.55,1,27.0,1.8162479455949387
Movie 201,Science Fiction,186933626,145950458,62.1,156,7.32,0,878.0,0.7807608567973747
Movie 202,Science Fiction,46968757,23787798,16.44,131,7.47,0,878.0,0.5064600283120118
Movie 203,Animation,135278815,283404114,48.37,145,6.09,1,16.0,2.0949630139796835
Movie 204,N/A,81705119,146083680,78.28,131,4.99,1,N/A,1.7879379136575273
Movie 205,Science Fiction,67653416,134213987,31.06,171,8.02,1,878.0,1.9838464180433992
Movie 206,Science Fiction,124850419,310173340,31.86,122,4.86,1,878.0,2.484359623975311
Movie 207,N/A,11274621,23862902,1.31,169,6.05,1,N/A,2.1165147812950873
Movie 208,Science Fiction,148240432,138891442,18.25,101,5.41,0,878.0,0.9369336025680227
Movie 209,Animation,17816569,24977605,87.67,134,8.13,1,16.0,1.4019312584819221
Movie 210,Drama,108147827,298999299,44.73,146,5.59,1,18.0,2.7647277554638245
Movie 211,Thriller,8654909,20986957,98.44,178,5.32,1,53.0,2.424861659435125
Movie 212,Animation,38814054,73420379,40.18,139,7.14,1,16.0,1.8915926432214476
Movie 213,Adventure,107388866,122327999,71.8,137,6.61,1,12.0,1.13911249421332
Movie 214,Animation,100157604,125712942,28.91,91,3.64,1,16.0,1.2551512514217094
Movie 215,Comedy,150638768,350972537,37.02,167,6.05,1,35.0,2.3298951635079757
Movie 216,Comedy,159428240,418967155,19.88,148,7.41,1,35.0,2.627935646783782
Movie 217,Drama,73073914,159196028,35.36,163,8.95,1,18.0,2.1785616683950995
Movie 218,Comedy,168997441,426519956,55.18,118,6.77,1,35.0,2.523824937680565
Movie 219,Thriller,12506305,30223241,99.19,92,5.22,1,53.0,2.416640326619253
Movie 220,Thriller,155777819,136190303,66.76,120,4.36,0,53.0,0.8742599162978395
Movie 221,Adventure,142951830,222985132,20.73,136,8.24,1,12.0,1.5598620318466716
Movie 222,Thriller,124035620,109456411,5.45,132,7.89,0,53.0,0.8824594983279803
Movie 223,Drama,140892447,153303516,13.51,91,4.4,1,18.0,1.0880889590909015
Movie 224,Thriller,143875872,384601652,56.69,92,4.2,1,53.0,2.6731490600453145
Movie 225,Romance,41163712,69246827,76.75,153,7.29,1,10749.0,1.6822298970510725
Movie 226,Thriller,86447809,158925241,94.1,176,4.89,1,53.0,1.8383952449274914
Movie 227,Animation,133863028,126649807,2.57,136,4.84,0,16.0,0.9461149123266508
Movie 228,Thriller,45165849,57842975,52.75,119,3.91,1,53.0,1.2806794576140925
Movie 229,Thriller,130693942,140576419,47.62,159,4.58,1,53.0,1.0756154175837775
Movie 230,Science Fiction,79826934,81061490,65.95,124,5.57,1,878.0,1.0154654067009514
Movie 231,Action,50905866,106642799,56.4,114,7.4,1,28.0,2.094901970629475
Movie 232,Horror,175875390,200886562,69.02,82,5.02,1,27.0,1.1422096178436334
Movie 233,Romance,141877636,295110975,66.15,84,4.97,1,10749.0,2.080038710258747
Movie 234,Action,32378291,20920796,12.58,169,4.71,0,28.0,0.6461365116522055
Movie 235,Thriller,198238369,169381995,80.17,90,5.87,0,53.0,0.8544359795454128
Movie 236,Adventure,37634821,44648093,13.2,150,4.08,1,12.0,1.1863506139699722
Movie 237,Romance,103325205,205887590,70.15,135,5.91,1,10749.0,1.9926172902342656
Movie 238,Thriller,154651082,338624490,42.2,89,7.23,1,53.0,2.1896031092753687
Movie 239,Adventure,17887294,28741168,51.87,113,3.18,1,12.0,1.6067923968823903
Movie 240,Romance,120356143,194312259,90.43,146,3.06,1,10749.0,1.6144772851353337
Movie 241,Romance,98935968,228669924,89.1,151,3.45,1,10749.0,2.3112921278538456
Movie 242,Thriller,111456008,60136393,81.97,110,6.21,0,53.0,0.5395527264891813
Movie 243,Comedy,36562619,49459171,51.5,154,8.13,1,35.0,1.3527250605324526
Movie 244,Horror,36213498,92227364,73.89,150,3.03,1,27.0,2.5467676168703726
Movie 245,Horror,36703247,73701901,51.78,145,8.62,1,27.0,2.0080485249711013
Movie 246,Drama,176127900,236551716,87.09,149,3.64,1,18.0,1.3430678274140553
Movie 247,Thriller,197962050,547129885,40.87,120,8.05,1,53.0,2.763811978103884
Movie 248,Drama,122946771,298952059,97.05,142,5.9,1,18.0,2.4315568157540306
Movie 249,Thriller,58805563,68346096,93.3,111,6.96,1,53.0,1.1622386133774452
Movie 250,Adventure,141621731,299278524,74.42,99,6.06,1,12.0,2.1132245869809343
Movie 251,Adventure,72244178,143720893,28.66,136,5.86,1,12.0,1.989376818710568
Movie 252,Drama,102573977,154165588,14.03,177,8.01,1,18.0,1.5029697834568703
Movie 253,Science Fiction,52939266,75035596,85.62,129,7.54,1,878.0,1.4173901844426782
Movie 254,Science Fiction,168485586,228955262,17.36,159,5.9,1,878.0,1.3589011822055805
Movie 255,Romance,156331731,319368445,85.57,104,3.67,1,10749.0,2.042889456651638
Movie 256,Drama,87641503,140754430,49.59,91,3.69,1,18.0,1.6060248304961178
Movie 257,Thriller,145639686,375700549,41.25,150,7.81,1,53.0,2.5796577795423152
Movie 258,Comedy,13984808,30403064,90.42,118,6.18,1,35.0,2.1740065362356065
Movie 259,Drama,15764960,10638652,60.78,96,5.89,0,18.0,0.6748289878312409
Movie 260,Romance,97946087,205727974,58.08,124,7.08,1,10749.0,2.100420550746453
Movie 261,Science Fiction,51402943,60545912,56.32,90,8.15,1,878.0,1.1778685901311137
Movie 262,Science Fiction,77241446,153094861,37.75,149,6.77,1,878.0,1.982029971318766
Movie 263,N/A,109276583,240444525,78.78,102,7.58,1,N/A,2.200329827297034
Movie 264,Thriller,54777024,58998852,26.03,170,7.59,1,53.0,1.0770729713246197
Movie 265,N/A,123691547,203119654,93.95,149,5.14,1,N/A,1.6421466052162805
Movie 266,Horror,93649393,91384216,89.5,117,4.64,0,27.0,0.9758121550237918
Movie 267,Comedy,179017694,112932809,34.41,81,7.81,0,35.0,0.6308471887700665
Movie 268,Thriller,11047453,15976727,73.22,165,5.26,1,53.0,1.44619099081028
Movie 269,N/A,36581225,51482977,57.75,163,8.42,1,N/A,1.4073606611041594
Movie 270,Romance,35109026,104930389,34.43,168,3.42,1,10749.0,2.988701224579685
Movie 271,Science Fiction,177308486,286509392,98.86,158,3.35,1,878.0,1.6158808778052507
Movie 272,Animation,151255355,201763129,3.5,172,8.56,1,16.0,1.3339238733068326
Movie 273,Horror,21281689,41524565,26.01,151,6.89,1,27.0,1.951187473888938
Movie 274,Thriller,192849071,139221309,52.49,116,5.28,0,53.0,0.7219184841185986
Movie 275,Thriller,72450611,210408480,52.67,128,7.53,1,53.0,2.9041643278895193
Movie 276,Science Fiction,128348283,267914220,59.3,131,7.03,1,878.0,2.08740010959087
Movie 277,Action,47510960,113413153,75.42,112,6.19,1,28.0,2.3870945356608244
Movie 278,Horror,132437871,122663273,62.72,101,3.59,0,27.0,0.9261948419572525
Movie 279,N/A,120912701,184234033,60.43,84,7.87,1,N/A,1.5236946282425698
Movie 280,Adventure,96415947,150092901,6.3,97,8.2,1,12.0,1.5567227794796228
Movie 281,N/A,110169700,281430273,38.28,117,4.03,1,N/A,2.5545161056079846
Movie 282,N/A,33797855,17003420,23.97,116,8.1,0,N/A,0.5030916902862622
Movie 283,Romance,35795514,44820736,27.27,173,8.27,1,10749.0,1.252132767251226
Movie 284,N/A,6184502,18263396,55.88,174,6.3,1,N/A,2.9530908066647887
Movie 285,Action,114944584,193936382,20.75,143,6.94,1,28.0,1.6872163546218062
Movie 286,N/A,125001512,182041664,30.1,89,5.29,1,N/A,1.4563156964053363
Movie 287,Animation,158666402,126865292,24.47,158,4.69,0,16.0,0.7995725018079127
Movie 288,N/A,56223954,165040445,94.9,121,7.33,1,N/A,2.935411568528247
Movie 289,Thriller,166165871,91402177,94.52,127,8.17,0,53.0,0.5500658856715529
Movie 290,Adventure,147720975,346102941,61.38,123,6.92,1,12.0,2.342950559323075
Movie 291,Thriller,95962818,232373916,92.53,161,6.07,1,53.0,2.4214995020258785
Movie 292,N/A,189223891,209876125,78.8,166,3.95,1,N/A,1.1091417890777862
Movie 293,Adventure,52910807,115287151,59.4,176,3.32,1,12.0,2.1788960996191196
Movie 294,Thriller,127736437,93544312,1.64,95,5.67,0,53.0,0.7323228531887107
Movie 295,Comedy,129314487,147757081,77.48,133,3.3,1,35.0,1.1426181584743866
Movie 296,Animation,55847136,137928741,70.55,114,6.42,1,16.0,2.469754957532648
Movie 297,Action,74150359,197367158,61.91,177,5.3,1,28.0,2.661715474634452
Movie 298,N/A,166048947,335620793,76.28,107,7.54,1,N/A,2.0212160273440336
Movie 299,Drama,93942922,166006169,51.78,81,4.83,1,18.0,1.7670960777651774
Movie 300,Thriller,158319111,142211732,70.7,173,6.56,0,53.0,0.8982600464450562
Movie 301,N/A,152786915,100499043,93.58,92,6.23,0,N/A,0.6577725782342029
Movie 302,Animation,102164453,81131098,38.2,120,3.03,0,16.0,0.7941225702055097
Movie 303,Drama,189928103,202917903,71.1,159,3.43,1,18.0,1.0683932487863579
Movie 304,Animation,189673875,256853754,48.09,138,4.74,1,16.0,1.3541862525875006
Movie 305,Romance,79110973,114890794,67.77,148,8.29,1,10749.0,1.4522738078319426
Movie 306,Adventure,40501026,55316480,76.53,171,3.88,1,12.0,1.3658044119672426
Movie 307,Animation,168381501,184821989,5.5,132,7.27,1,16.0,1.0976383266710517
Movie 308,N/A,12310552,21842743,65.01,124,8.84,1,N/A,1.7743106076803055
Movie 309,Science Fiction,166363810,426426258,23.45,99,7.74,1,878.0,2.5632152689938996
Movie 310,Action,156322520,187471164,67.33,103,4.46,1,28.0,1.1992588399931117
Movie 311,Horror,22739356,64942862,47.36,140,8.45,1,27.0,2.8559675128882276
Movie 312,Adventure,146689489,393618016,77.58,170,3.56,1,12.0,2.6833416537431662
Movie 313,Action,154794431,139997713,13.22,173,5.81,0,28.0,0.9044105275337716
Movie 314,Thriller,19877237,49011102,63.01,137,8.33,1,53.0,2.4656898743019466
Movie 315,Thriller,47918818,92793279,28.57,106,6.85,1,53.0,1.9364684454445433
Movie 316,Horror,116797711,223835619,85.45,105,5.48,1,27.0,1.91643840520128
Movie 317,Comedy,158922984,234825698,92.91,86,4.76,1,35.0,1.4776069017178786
Movie 318,Comedy,106996448,187552201,99.64,121,5.25,1,35.0,1.752882497557302
Movie 319,Horror,78633091,117395032,79.8,126,6.05,1,27.0,1.4929469324816445
Movie 320,Thriller,56403796,104309319,75.62,132,4.91,1,53.0,1.84933154144448
